date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251126,15:05:03.454,SeleneSNum0001  ,24.0,24.0,1,1505730,3000,E280116060000204AC6AD1FE,C68D,-54.8,3,0,N/A
20251126,15:05:03.454,SeleneSNum0001  ,24.0,24.0,2,1505735,3000,E280116060000204AC6AD1F9,B66A,-57.6,3,0,N/A
20251126,15:05:03.454,SeleneSNum0001  ,24.0,24.0,3,1505742,3000,E280116060000204AC6AD1FD,F6EE,-58.3,3,0,N/A
20251126,15:05:03.454,SeleneSNum0001  ,24.0,24.0,4,1505747,3000,E280116060000204AC6AD0E6,6685,-59.1,3,0,N/A
20251126,15:05:03.454,SeleneSNum0001  ,24.0,24.0,5,1505752,3000,E280116060000204AC6AD0EC,C7CF,-59.9,3,0,N/A
20251126,15:05:03.538,SeleneSNum0001  ,24.0,24.0,6,1505795,3000,E280116060000204AC6AD1FE,C68D,-53.9,5,0,N/A
20251126,15:05:03.538,SeleneSNum0001  ,24.0,24.0,7,1505801,3000,E280116060000204AC6AD1FD,F6EE,-60.8,5,0,N/A
20251126,15:05:03.538,SeleneSNum0001  ,24.0,24.0,8,1505807,3000,E280116060000204AC6AD0EC,C7CF,-59.1,5,0,N/A
20251126,15:05:03.538,SeleneSNum0001  ,24.0,24.0,9,1505815,3000,E280116060000204AC6AD0E6,6685,-59.1,5,0,N/A
20251126,15:05:03.538,SeleneSNum0001  ,24.0,24.0,10,1505819,3000,E280116060000204AC6AD1F9,B66A,-58.3,3,0,N/A
20251126,15:05:03.585,SeleneSNum0001  ,24.0,24.0,11,1505880,3000,E280116060000204AC6AD1F9,B66A,-57.6,3,0,N/A
20251126,15:05:03.585,SeleneSNum0001  ,24.0,24.0,12,1505893,3000,E280116060000204AC6AD1FD,F6EE,-59.1,1,0,N/A
20251126,15:05:03.585,SeleneSNum0001  ,24.0,24.0,13,1505903,3000,E280116060000204AC6AD1FE,C68D,-53.9,1,0,N/A
20251126,15:05:03.585,SeleneSNum0001  ,24.0,24.0,14,1505908,3000,E280116060000204AC6AD0E6,6685,-57.0,1,0,N/A
20251126,15:05:03.585,SeleneSNum0001  ,24.0,24.0,15,1505916,3000,E280116060000204AC6AD0EC,C7CF,-60.8,1,0,N/A
20251126,15:05:03.654,SeleneSNum0001  ,24.0,24.0,16,1505926,3000,E280116060000204AC6AD1FE,C68D,-54.8,3,0,N/A
20251126,15:05:03.654,SeleneSNum0001  ,24.0,24.0,17,1505932,3000,E280116060000204AC6AD0E6,6685,-57.0,3,0,N/A
20251126,15:05:03.654,SeleneSNum0001  ,24.0,24.0,18,1505940,3000,E280116060000204AC6AD0EC,C7CF,-59.1,3,0,N/A
20251126,15:05:03.654,SeleneSNum0001  ,24.0,24.0,19,1505947,3000,E280116060000204AC6AD1FD,F6EE,-60.8,1,0,N/A
20251126,15:05:03.654,SeleneSNum0001  ,24.0,24.0,20,1505951,3000,E280116060000204AC6AD1F9,B66A,-59.9,3,0,N/A
20251126,15:05:03.717,SeleneSNum0001  ,24.0,24.0,21,1505994,3000,E280116060000204AC6AD1FD,F6EE,-59.1,3,0,N/A
20251126,15:05:03.717,SeleneSNum0001  ,24.0,24.0,22,1506007,3000,E280116060000204AC6AD1F9,B66A,-57.6,3,0,N/A
20251126,15:05:03.717,SeleneSNum0001  ,24.0,24.0,23,1506018,3000,E280116060000204AC6AD0E6,6685,-58.3,3,0,N/A
20251126,15:05:03.717,SeleneSNum0001  ,24.0,24.0,24,1506022,3000,E280116060000204AC6AD1FE,C68D,-53.9,3,0,N/A
20251126,15:05:03.717,SeleneSNum0001  ,24.0,24.0,25,1506027,3000,E280116060000204AC6AD0EC,C7CF,-59.1,1,0,N/A
20251126,15:05:03.770,SeleneSNum0001  ,24.0,24.0,26,1506055,3000,E280116060000204AC6AD0EC,C7CF,-59.1,3,0,N/A
20251126,15:05:03.770,SeleneSNum0001  ,24.0,24.0,27,1506061,3000,E280116060000204AC6AD1FD,F6EE,-59.9,3,0,N/A
20251126,15:05:03.770,SeleneSNum0001  ,24.0,24.0,28,1506069,3000,E280116060000204AC6AD1FE,C68D,-55.8,1,0,N/A
20251126,15:05:03.770,SeleneSNum0001  ,24.0,24.0,29,1506093,3000,E280116060000204AC6AD0E6,6685,-57.0,1,0,N/A
20251126,15:05:03.770,SeleneSNum0001  ,24.0,24.0,30,1506098,3000,E280116060000204AC6AD1F9,B66A,-59.1,1,0,N/A
20251126,15:05:03.832,SeleneSNum0001  ,24.0,24.0,31,1506111,3000,E280116060000204AC6AD1FE,C68D,-54.8,3,0,N/A
20251126,15:05:03.832,SeleneSNum0001  ,24.0,24.0,32,1506119,3000,E280116060000204AC6AD0EC,C7CF,-59.1,1,0,N/A
20251126,15:05:03.832,SeleneSNum0001  ,24.0,24.0,33,1506126,3000,E280116060000204AC6AD1F9,B66A,-58.3,3,0,N/A
20251126,15:05:03.832,SeleneSNum0001  ,24.0,24.0,34,1506134,3000,E280116060000204AC6AD1FD,F6EE,-61.8,3,0,N/A
20251126,15:05:03.901,SeleneSNum0001  ,24.0,24.0,35,1506161,3000,E280116060000204AC6AD0EC,C7CF,-59.9,5,0,N/A
20251126,15:05:03.901,SeleneSNum0001  ,24.0,24.0,36,1506180,3000,E280116060000204AC6AD1FE,C68D,-53.9,3,0,N/A
20251126,15:05:03.901,SeleneSNum0001  ,24.0,24.0,37,1506187,3000,E280116060000204AC6AD1F9,B66A,-57.6,3,0,N/A
20251126,15:05:03.901,SeleneSNum0001  ,24.0,24.0,38,1506193,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251126,15:05:03.901,SeleneSNum0001  ,24.0,24.0,39,1506204,3000,E280116060000204AC6AD0E6,6685,-58.3,3,0,N/A
20251126,15:05:03.955,SeleneSNum0001  ,24.0,24.0,40,1506244,3000,E280116060000204AC6AD1FD,F6EE,-59.9,3,0,N/A
20251126,15:05:03.955,SeleneSNum0001  ,24.0,24.0,41,1506257,3000,E280116060000204AC6AD0E6,6685,-57.0,1,0,N/A
20251126,15:05:03.955,SeleneSNum0001  ,24.0,24.0,42,1506263,3000,E280116060000204AC6AD1FE,C68D,-54.8,3,0,N/A
20251126,15:05:03.955,SeleneSNum0001  ,24.0,24.0,43,1506267,3000,E280116060000204AC6AD0EC,C7CF,-59.1,1,0,N/A
20251126,15:05:03.955,SeleneSNum0001  ,24.0,24.0,44,1506276,3000,E280116060000204AC6AD1F9,B66A,-57.6,3,0,N/A
20251126,15:05:04.017,SeleneSNum0001  ,24.0,24.0,45,1506295,3000,E280116060000204AC6AD1FD,F6EE,-59.9,5,0,N/A
20251126,15:05:04.017,SeleneSNum0001  ,24.0,24.0,46,1506299,3000,E280116060000204AC6AD0EC,C7CF,-59.9,3,0,N/A
20251126,15:05:04.017,SeleneSNum0001  ,24.0,24.0,47,1506309,3000,E280116060000204AC6AD0E6,6685,-56.4,3,0,N/A
20251126,15:05:04.017,SeleneSNum0001  ,24.0,24.0,48,1506315,3000,E280116060000204AC6AD1FE,C68D,-53.9,1,0,N/A
20251126,15:05:04.017,SeleneSNum0001  ,24.0,24.0,49,1506331,3000,E280116060000204AC6AD1F9,B66A,-57.0,1,0,N/A
20251126,15:05:04.091,SeleneSNum0001  ,24.0,24.0,50,1506352,3000,E280116060000204AC6AD0EC,C7CF,-58.3,5,0,N/A
20251126,15:05:04.091,SeleneSNum0001  ,24.0,24.0,51,1506362,3000,E280116060000204AC6AD1FE,C68D,-53.9,3,0,N/A
